bus,voltage_pu,angle_deg
1,1,0
2,0.99703225977453,0.014481413618191
3,0.982937983682626,0.0960415780873264
4,0.975456413684889,0.161651442642127
5,0.968059233002662,0.228285354547028
6,0.949658178514335,0.133853255274492
7,0.946172614719072,-0.0964740288804358
8,0.941328438548055,-0.0604030304410633
9,0.935059373695426,-0.133484473262082
10,0.929244424285363,-0.196014018543059
11,0.928384418882556,-0.188761056134515
12,0.926884838513064,-0.177268953511573
13,0.92077174952993,-0.268586498870863
14,0.918504994826075,-0.347267455358439
15,0.917092682224422,-0.384950204725505
16,0.915724762234255,-0.408204882401823
17,0.913697548384138,-0.48547310611815
18,0.913090481608195,-0.495062671767372
19,0.996503895700036,0.00365089526659343
20,0.992926299576931,-0.0633276833900843
21,0.992221795866107,-0.0826855621825316
22,0.991584376903329,-0.103033133249293
23,0.979352257625171,0.0650799562305177
24,0.97268110126251,-0.0236539299551236
25,0.969356112749829,-0.0673545483102464
26,0.947728911303978,0.173309605072227
27,0.945165165477088,0.22946314527446
28,0.93372558247955,0.312409109747758
29,0.925507480159186,0.390314418776128
30,0.921950059773881,0.495585551583244
31,0.917788889111082,0.411177666877389
32,0.91687346778372,0.388134938042156
33,0.916589824191174,0.380405045919547
