pv_bus,penetration,scenario_count,feasible_scenario_count,all_scenarios_feasible,mean_P_loss,max_P_loss,min_Vmin,max_Vmax,max_Vdev,mean_P_grid,max_voltage_violation
8,0.8,3,2,0,0.130140706267417,0.164593337554431,0.942615485439466,1.01105603321361,0.0573845145605338,0.873140702097714,0.00738451456053391
7,0.8,3,2,0,0.114920538007303,0.153794591443095,0.942398923564927,1.00197109959774,0.057601076435073,0.857920533811408,0.00760107643507291
9,0.8,3,2,0,0.159698727606029,0.190086791277015,0.942099341242662,1.02411453641927,0.0579006587573375,0.902698720267664,0.00790065875733792
10,0.8,3,2,0,0.190765611776734,0.217986363915276,0.941536744215741,1.0372584163381,0.0584632557842594,0.933765592240357,0.00846325578425899
11,0.8,3,2,0,0.196722409336609,0.223468235009127,0.941444866557303,1.03990269275993,0.0585551334426975,0.939722386381732,0.00855513344269698
12,0.8,3,2,0,0.208477883522793,0.234481085673151,0.941260233527442,1.04498334460355,0.0587397664725583,0.951477851691798,0.00873976647255792
8,0.75,3,2,0,0.124685807933108,0.162069587050995,0.940046450012204,1.00771174871944,0.0599535499877961,1.05343580334638,0.00995354998779596
9,0.75,3,2,0,0.149486718499419,0.182848783096941,0.939625611221356,1.01980566019496,0.0603743887786441,1.07823671177925,0.0103743887786439
7,0.75,3,2,0,0.112579821554931,0.154255102326309,0.939552491388098,1,0.0604475086119015,1.0413298167173,0.0104475086119019
10,0.75,3,2,0,0.175920745972826,0.206107152964318,0.939156441171146,1.03203429441835,0.0608435588288538,1.10467073222954,0.0108435588288539
11,0.75,3,2,0,0.181044765627767,0.210752508033842,0.939078451574298,1.034505416941,0.0609215484257021,1.10979475001623,0.0109215484257019
12,0.75,3,2,0,0.191220568205706,0.220172068465683,0.938920258808264,1.03926193310276,0.0610797411917362,1.11997054776661,0.0110797411917359
6,0.8,3,2,0,0.111939245096518,0.152527818182706,0.938765294056641,1.00133552805755,0.061234705943359,0.854939240752136,0.011234705943359
26,0.8,3,2,0,0.115833666097934,0.154936962618054,0.938721202615665,1.00354372032404,0.0612787973843349,0.858833662089563,0.0112787973843349
27,0.8,3,2,0,0.121952711533513,0.159194678066188,0.93864297659733,1.00671030407354,0.0613570234026697,0.864952707749563,0.01135702340267
28,0.8,3,2,0,0.147767322676403,0.179186757363247,0.938208743163914,1.01671001707481,0.0617912568360857,0.890767317305481,0.011791256836086
29,0.8,3,2,0,0.169174066604699,0.197136590350582,0.937820595078556,1.02435174146821,0.0621794049214436,0.912174056377446,0.012179404921444
30,0.8,3,2,0,0.184344550271922,0.210846870491261,0.93756671159276,1.03029762999937,0.0624332884072403,0.927344534532607,0.01243328840724
8,0.7,3,2,0,0.120485667961768,0.16087003946395,0.937452438536968,1.00433943877453,0.0625475614630316,1.23498566279779,0.0125475614630319
9,0.7,3,2,0,0.140832973055642,0.177256962880612,0.937120449669287,1.01545118541174,0.0628795503307132,1.25533296642895,0.012879550330713
31,0.8,3,2,0,0.220896859092944,0.246770971609044,0.936755921602721,1.04265785985037,0.0632440783972794,0.963896827035646,0.0132440783972789
10,0.7,3,2,0,0.162897770300212,0.196153946028779,0.936739128913087,1.02674438537911,0.0632608710869129,1.27739775951397,0.013260871086913
7,0.7,3,2,0,0.111255946339097,0.15578778031515,0.936683318471843,1,0.0633166815281571,1.22575594069976,0.0133166815281569
11,0.7,3,2,0,0.16723184409097,0.20000800572029,0.936674317435311,1.02903884678473,0.0633256825646886,1.2817318322873,0.0133256825646889
12,0.7,3,2,0,0.175905121591442,0.207915536131171,0.936541293331624,1.03346445245322,0.0634587066683759,1.2904051071906,0.013458706668376
32,0.8,3,2,0,0.234084036083957,0.260255024086922,0.936432564985416,1.04663396282446,0.0635674350145844,0.977084009822704,0.0135674350145839
6,0.75,3,2,0,0.11047568645423,0.153823190110617,0.93610193128961,1,0.0638980687103899,1.03922568127501,0.01389806871039
